character,degree_Marvel_characters
DYNAMITE,30
DYOAHN,42
DYSON_LEODIS,26
DYSON_MRS,26
DZILOS,48
E_V_A,274
EAGLE,36
EALLAL_KING,10
EAMONN,222
EANY,272
EARLE_CARYN,52
EARP_MORGAN,48
EARP_WYATT,48
EARTH_MOVER,62
EARTH-LORD,20
EARTH-LORD_II,158
EARTH-MOVER,34
EARTHMOVER,78
EARTHQUAKE,344
EASTON_DR_RICHARD,36
EASTON_PATRICK,30
EBADI_SHIRIN,18
EBBTIDE,14
EBON_SAMURAI,82
EBONY,392
EBORA,18
EBROK,18
ECCE,18
ECHO,32
ECHO_II,556
ECLECTA,24
ECLIPTIC,48
ECSTASY,94
EDDA,62
EDDIE,18
EDDIE_X,38
EDELMAN_SCOTT,50
EDEN,22
EDEN_KIRK,24
EDEV,18
EDGER_SANDRA,24
EDIFICE_REX,152
EDGERTON_GAYLE,142
EDGERTON_MR,114
EDITOR,28
EDMUNDSON_GEN_HANK,44
EDWARDS_DR_PERRY,22
EDWARDS_MARTIN,176
EDWARDS_MR,30
EDWARDS_MRS,20
EEL,18
EEL_II,284
EEL_III,754
EEL_IV,70
EELAK,106
EEROK,18
EFFEX,18
EFFIGY,160
EGGHEAD,240
EGGHEAD_PROTO-HUSK,40
EGGHEAD_II,56
EGMA,62
EGO,602
EGO-PRIME,134
EHMAN_HEIDI,20
EHRET_MADDIE,32
EHRET_SCOTT,22
EHRMANN_DR_JOHN,38
EIGHTBALL,200
EILIF_DRAGONSLAYER,124
EIMIN,6
EINE,14
EINSTEIN_ALBERT,42
EINSTEIN_ALBERT_ROBOT,26
EISENHARDT_ANYA,150
EISENHARDT_EDIE,52
EISENHARDT_ERICH,24
EISENHARDT_JAKOB,54
EISENHARDT_MAGDA,282
EISENHARDT_RUTH,32
EISENHOWER_GEN_DWIGHT_D,70
EISMAN_BETTY,38
EISMAN_HY,38
EITRI,294
EJSZAKA_JOSIEY_JOE_SIMON,32
EJULP,58
EKAK,28
AGUILA,10
AGUILA_II,210
EL_ALAOUI_KAMAL,146
EL_CAPITAN,10
EL_CID,18
EL_CONDOR,6
EL_DIABLO,12
EL_DORADO,26
EL_DRAGON,24
EL_GIBAR_ACHMED,62
EL_GUAPO,52
EL_JAGUAR,110
EL_LOBO,28
EL_MONTANO,12
EL_MUERTO,26
EL_OJO,10
EL_TIGRE,56
EL_TORO_NEGRO,88
EL_TORO_ROJO,52
EL_UNO,28
EL-GAMAL_KHALID,26
ELALYTH,70
ELAMRON,36
ELANNA,30
ELATHAN,38
ELDRAC,40
ELEC_TRIX,34
ELECTRA,12
ELECTRIC_EVE,14
ELECTRISHA,34
ELECTRO,148
ELECTRO_II,1494
ELECTRON,422
ELECTRYON,24
ELEGGUA,36
ELEJEA,40
ELEKTRA,1010
ELEKTRA_IMPOSTER,14
ELEKTRA_IMPOSTER_II,262
ELEKTRO,30
ELEKTRO_II,80
ELEPHANTINE,44
ELEVEN,28
ELEYN,20
ELF_WITH_A_GUN,52
ELF_WITH_A_GUN_II,18
ELF_WITH_A_GUN_III,42
ELF_WITH_A_GUN_IV,62
ELF_WITH_A_GUN_V,52
ELF_WITH_A_GUN_VI,132
ELIOT_JOEY,68
ELIPHAS,204
ELITE,30
ELITE_II,14
ELIXIR,734
ELK_STEP_ROBERTA,12
ELLENSHAW_BILLY,22
ELLENTHORPE_MARIAH,66
ELLINGTON_DR,62
ELLIOT_MR,28
ELLIS_KEN,448
ELLOE_KAIFI,304
ELONGATED_ARMSTRONG,42
ELSIE_DEE,128
ELWOOD,46
ELYSIA,88
ELYSIUS,264
EMBER,88
EMBER_II,112
EMBER_III,152
EMBLA,102
EMBYRRE,66
EMI,24
EMMAEL,16
EMMET,44
EMNU,20
EMPATH,514
EMPEROR_HIROHITO,42
EMPEROR_NONE,52
EMPLATE,282
EMPYREAN,40
ENAKU,30
ENCHANTRESS,1226
ENCHANTRESS_II,56
ENDGAME,58
ENDO_DR_SUZI,288
ENDOTHERM,4
ENDUQUE_MANUEL,110
ENERGIZER,444
ENFORCER,154
ENFORCER_II,36
ENGLEHART_STEVE,32
ENIGMO,44
ENMITY,28
ENRAGED,86
ENRAKT,84
ENT,62
ENTITY,64
ENTITY_II,46
ENTITY_III,20
ENTROPY,18
EON,378
EOS,62
EPHESUS,20
EPIPHANY,28
EPOCH,484
EPSILON_RED,26
EPSTEIN_DIANE,18
EPSTEIN_IDA,52
EPSTEIN_JANINE,82
EPSTEIN_MORRIS,52
EPSTEIN_PROF_NORA,18
EPURER_GISCARD,92
EQUILIBRIUS,92
EQUINOX,326
EQUINOX_IMPOSTER,92
EQUIUS,40
ERA,28
ERADICA,92
ERADIKATOR,4
ERAMIS,50
ERBIUM,86
ERDA,22
ERDE_ALEXANDER,76
ERG,506
ERGINUS,22
ERIC_THE_RED,218
ERIK,32
ERINNYES,26
ERIS,70
ERISHKIGAL,78
ERISHKIGAL_II,258
ERISTA,8
ERNST,68
ERNST_II,178
ERO,48
EROS,228
ERSKINE_ANITA_ROBOT,20
ERSKINE_ERNST,44
ERSKINE_PROF_JACOB,20
ERTZIA,50
ERWIN_CLYTEMNESTRA,202
ERWIN_MORLEY,214
ERYNYS,48
ESHCOL_DAVID,24
ESK_ODIN,44
ESME,190
ESMERA_QUEEN,48
ESON,294
ESON_II,54
ESPEJO_HECTOR,2
ESPIA,26
ESSENTIAL,12
ESSEX_REBECCA,14
ESTAVES_DR_ROSA,24
ESTAVES_MARIE,24
ESTEBAN_ANGEL,6
ETERNAL_BRAIN,102
ETERNITY,1164
ETHINGWELL_CATHY,12
ETHINGWELL_LORD,12
ETUBAN,28
ETZION_GENERAL,24
EUBANKS_BOB,42
EULOGY,14
EUROADATTOIDE,44
EUROPIUM,92
EURYSTHEUS,134
EVANS_CHARLES,26
EVANS_DORIS,302
EVANS_WILLIE,38
EVANS_WILLIE_JR,38
EVENOR,22
EVER,58
EVERETT_BILL,74
EVERHART_CHRISTINE,34
EVERWRAITH,20
EVERY,18
EVIL_DEADPOOL,12
EVILHAWK,58
EVOLUTIONARY,152
EWING_MARK,22
EXALT,26
EXALTED_ONE,24
EXAMINER,30
EXCALIBUR,108
EXCAVATOR,40
EXECUTIONER,592
EXECUTIONER_DUPLICATE,66
EXECUTIONER_II,16
EXECUTIONER_III,8
EXECUTIONER_IV,74
EXECUTIONER_V,58
EXECUTIONER_VI,20
EXECUTIONER_VIII,96
EXECUTIONER_IX,56
EXETER_LT,38
EXILE,74
EXITAR,42
EXMORE_SAM,36
EXODUS,572
EXPEDIENCY,14
EXPLOITINATOR,20
EXPLORER,30
EXTERMINA,52
EXTERMINATRIX,52
EXTIRPIA,40
EXTREMIST,40
EYE_OF_ODIN,220
EYEBALL,6
EZAKI_SHIGERU,12
EZAKI_SOJIN,12
EZAKI_YURIKO,50
EZEKEEL,28
EZZARD_BOB,16
F_A_U_S_T,62
FABRIKANT,136
FACADE,38
FACE,16
FACE_II,118
FACE_THIEF,16
FACELESS_ONE,36
FACTOR_X,32
FADER,62
FAERIE,28
FAERY_QUEEN,98
FAFNIR,258
FAFNIR_II,114
FAGAN_TOM,110
FAGIN,52
FAHE,134
FAIRE_DE_LAIN,10
FAIRMONT_AMANDA,146
FAIRMONT_HANNAH,202
FALCON,40
FALCON_II,2560
FALCON_WOMAN,50
FALCONA,62
FALCONER_CALVIN,30
FALK_DR_JENNIE,48
FALKI,28
FALLEN_ONE,74
FALLING_WEST_RAIN,12
FALLON_HOWARD,78
FALLON_MEG,96
FALLON_RIGBY,36
FALLOUT,6
FALON,26
FALSWORTH_JOHN_II,22
FALZON,56
FAMINE,168
FAMINE_IV,32
FANBOY,66
FANCY_DAN,330
FANDRAL,1896
FANG,44
FANG_II,170
FANG_III,76
FANG_IV,34
FANG_V,240
FANGOR,26
FANGU,94
FANSHAWE_WILL,30
FANTASMA,238
FANTASMA_II,12
FANTASMA_III,16
FANTOMEX,386
FARA,10
FARAHD,36
FARALLAH,86
FARAZ_DARIUS,50
FARBER_JAKE,114
FARGO_FLAGG,24
FARNSWORTH_CRAIG,76
FARO_DR,40
FAROUK,498
FARREL,268
FARRELL,38
FARRELL_EMMA_JOHNSON,134
FARRELL_KATHERINE,360
FARRELL_MAGGIE,36
FARRELL_SEAN,24
FARRELL_SEAN_II,34
FARRET_JOHN,24
FARRINGTON_LESLIE,46
FARROW_COL,70
FASAUD,28
FASHIMA,62
FASOLT,50
FASTBACK,36
FASTFORWARD,56
FAT_COBRA,268
FATAL_FINNEGAN,18
FATALE,232
FATALE_II,8
FATE_IAN,36
FATEBALL,24
FATH,144
FATHER,18
FATHER_ADAM,22
FATHER_TIME,80
FATHER_TIME_II,162
FAUSTUS_MARGUERITE,20
FAVERSHAM_DAPHNE,8
FAWKES,64
FAWN,18
FAWN_FELICIA,50
FAYRELYTE_STRONGHEART,184
FAZE,16
FAZE_II,24
FEAR,16
FEAR_EATER,156
FEASTER_GEN,32
FEDDERS,46
FEDERAL_DYNAMO,22
FEEDBACK,72
FEEPERS,18
FEETA_JIAN,44
FEEVA,18
FEI_NATAKU,20
FEIFFER_BEAUREGARD,30
FEINGOLD_COMMISSIONER,210
FEINMAN_JACOB,42
FELDSPAR,48
FELDSTADT_DR_HANS,18
FELIX,26
FELIX_SAM,10
FELL_SIGMUND,28
FELON,30
FEN,196
FENDER_BILLY,18
FENELLI_CAPT_FLASH,50
FENG_PO-PO,30
FENN-RA,32
FENRIS_WOLF,190
FENSTER_RICHARD,70
FENTON_BARNEY,22
FENTON_POP,8
FENWAY,108
FER-DE-LANCE,312
FERA,48
FERAL,742
FERBER_MICHAEL_K,36
FERGUSON_ISABEL,34
FERN,144
FERNANDEZ_DOUG,34
FERNANDEZ_JOHN,114
FEROCIA,218
FERON,38
FERON_II,180
FERRARA_ENZO,28
FERRARI_CONNIE,106
FERRET,46
FERRET_II,16
FERRET_III,72
FERRET_SIR,38
FERRIS,146
FERRO,22
FESI_EDEN,222
FETCH_DOGGY_FETCH,22
FETISH,54
FEUER,18
FEVER_PITCH,256
FEX,50
FHYTY,40
FIALAN,30
FIDDLER,22
FIDDLER_BARNEY,30
FIELDER,26
FIELDING_CLARENCE,50
FIELDS_MARJORIE,28
FIELDS_PROF_WILLIAM,28
FIELDS_TODD,28
FIELDS_TRACI,46
FIELDSTONE,58
FIELSTEIN,502
FIERY_MASK,140
FIFOLET,72
FIGARO,58
FIGHT-MAN,60
FIGHTER_ONE,74
FIGHTING_YANK,48
FIGMENT,76
FILLMORE_BETTY,20
FILLMORE_DONALD_ROBERT,44
FILLMORE_GARRET,20
FIM,22
FIN,160
FIN_II,164
FIN_FANG_FOOM,450
FINCH_JOANNA_NIVENA,58
FINE_DR,52
FINEBERG_LARRY,40
FINESSE,282
FINISHER,26
FIRE_EATER,86
FIRE_KNIVES,154
FIRE-ARMS,176
FIRE-EYES,18
FIREARM,252
FIREBALL,32
FIREBALLS,100
FIREBIRD,1002
FIREBOLT,34
FIREBRAND,196
FIREBRAND_II,340
FIREBRAND_III,120
FIREBRAND_IV,60
FIREBRICK,28
FIREBUG,198
FIRECREST,52
FIREFALL,22
FIREFALL_II,78
FIREFALL_III,20
FIREFALL_IV,78
FIREFIGHT,34
FIREFIGHT_II,104
FIREFIGHT_III,36
FIREFIST_II,42
FIREFLY,48
FIREFLY_II,18
FIREFLYTE,48
FIREFLYTE_II,102
FIREFLYTE_III,70
FIREFOX,92
FIREFOX_II,10
FIREHEART_JOSEPH,32
FIRELORD,836
FIREMANE,34
FIREPOWER,36
FIREPOWER_II,66
FIRESTAR,2406
FIRESTAR_DOPPELGANGER,232
FIRESTAR_DOPPELGANGER_II,20
FIRESTONE_DARREN,48
FIRESTRIKE,72
FIRESTRYKE,30
FIREWALL,80
FIRKANDI_RANDY,34
FIRST_FALLEN,36
FISCHER_JEFFREY,32
FISCHER_LIAM,12
FISHBACH_BELLA,190
FISHER_BOBBY,22
FISHER_LT_MICHELLE,16
FISHER_PROF_FRANCESCA,22
FISHER_REGINALD,8
FISHHAWK,16
FISHLER_DR_VINCENT,44
FISHMAN_DR_JONATHAN,32
FISK_MR,16
FISK_MRS,16
FISK_VANESSA,184
FIST,26
FIST_OF_FIRE,32
FIST_GEN_ARGYLE,86
FISTICUFF WOMAN,42
FITCH,104
FITZGERALD_BRIAN,32
FITZGERALD_KENNY,18
FITZGERALD_MOLLY,24
FITZHUGH_DR_FIONA,68
FITZPATRICK_JIM,62
FITZPATRICK_WILL,32
FIXER,22
FIXER2,1008
FIZ,314
FIZGIG,58
FIZZURE,40
FLAG-SMASHER,274
FLAG-SMASHER_II,142
FLAGSTONE,42
FLAMBE,30
FLAME,74
FLAME_II,66
FLAME_III,108
FLAME_IV,36
FLAMING_STAR,46
FLAMSTEED_JOHN,26
FLANDERS_MRS,18
FLANDERS_RONA,18
FLARE,20
FLARE_II,52
FLASHBACK,110
FLASHFIRE,234
FLASHPOINT,18
FLATIRON,90
FLATMAN,684
FLATT_MILES,20
FLAVIUS,14
FLAW,148
FLEA,40
FLEA_II,38
FLEET_JONAS,18
FLEET_TAMARA,18
FLEMING_CHET,40
FLEMING_PHILIP,24
FLESH,26
FLESH_TONES,40
FLEURY_GERALD,10
FLEX,238
FLINCH,48
FLINN_LANCELOT,4
FLINT,90
FLINT_CAPT,22
FLINT_LT,60
FLINT_ROCKY,56
FLINTLOCK,36
FLORES_DAHLIA,34
FLORES_MIA,62
FLORES_SHANICE,34
FLORESCU_ANTON,22
FLORINDA,16
FLOYD_SALLY,588
FLUFFY,18
FLUX,32
FLUX_II,46
FLY_II,62
FLYING_CARPET,56
FLYING_DUTCHMAN,84
FLYING_FOX,30
FLYING_TIGER,506
FLYNN_HARLEY_ELIAS,26
FOAM,36
FOE-DOG,12
FOGELSTROM_HIRAM,16
FOGG,126
FOGG_ARCHIMEDES,46
FOGG_JONAS,46
FOLEY_GRACE,50
FOLEY_HOWARD,50
FOLIO,36
FOLMA,36
FONDA_JANE,20
FONDOZZI_MICKEY,152
FONG,8
FONG_DR_CHARLES_WARREN,60
FONG_KATY,32
FONG_LI,48
FONTAINE_BRIGHAM,12
FONTAINE_CINDER,48
FONTAINE_SALLY,26
FONTANELLE,208
FONTI_DET,14
FONTREAUX_GUY,32
FOO_MOLLY,20
FOOFERAN,36
FOOL,90
FOOLKILLER,14
FOOLKILLER_II,180
FOOLKILLER_III,158
FORBES_MALCOLM,24
FORCE,200
FORCE_II,72
FORCE_COMMANDER,184
FORD,22
FORD_FRANCIS_J_W,36
FORD_GERALD,168
FORD_TREVOR,50
FOREARM,358
FOREIGNER,458
FORELLI_LYNNE,16
FORELLI_MORRIS,16
FOREMAN,14
FOREVER_MAN,42
FORGE,1792
FORGET-ME-NOT,56
FORGOT,620
FORREST_DR,32
FORRESTER_CAPT_ALEYTYS,338
FORRESTER_DR_CEDRIC,54
FORSUNG,94
FORTEAN_GEN_REGINALD,38
FORTHWARD_KENT,32
FORTUNADO_BOBBY,14
FORTUNATO_GIACOMO,150
FORTUNATO_JAMES,26
FORTUNATO_MARY,26
FORTUNATO_VINCENTE_PAOLO,244
FORTUNE_DOMINIC,348
FORTUNE_DOMINIC_II,26
FORTUNE_DOMINIC_III,12
FORTUNE_ROY,46
FORTUNE_SALLY,40
FORTUNO,14
FORTUNOV_BETTY,26
FORTUNOV_DIMITRI,76
FOSTER,58
FOSTER_DR_JANE,1250
FOSTER_DR_WILLIAM_BARRETT,110
FOSTER_EMELINE,22
FOSTER_FRANK,20
FOSTER_ROBERT_FLASH,60
FOSWELL,232
FOUCAULT_MR,30
FOUCAULT_MRS,30
FOUNDING_FATHER,22
FOUNDRY,52
FOUNDRY_II,116
FOUNTAINHEAD,26
FOURNIER_MARCEL,38
FOWLER_RED,134
FOX,22
FOX_DIANA,10
FOX_KILLIAN,34
FOX_PHIL,54
FOXBAT,162
FRACTAL,24
FRACTURE,30
FRAKTUR,112
FRANK,62
FRANK_ENS_PERCY,24
FRANK_SGT,6
FRANKEN_S_TEEN,26
FRANKENSTEIN_MONSTER,232
FRANKENSTEIN_MONSTER_ANDROID,20
FRANKENSTEIN_MONSTER_CLONE,68
FRANKENSTEIN_MONSTER_PROTOTYPE,18
FRANKENSTEIN_ALPHONSE,40
FRANKENSTEIN_BASIL,18
FRANKENSTEIN_DR_LUDWIG,10
FRANKENSTEIN_ELIZABETH,44
FRANKENSTEIN_ERNST,38
FRANKENSTEIN_LENORE,6
FRANKENSTEIN_VERONICA,20
FRANKENSTEIN_VICTOR,40
FRANKENSTEIN_VICTORIA,8
FRANKENSTEIN_VINCENT,2
FRANKENSTEIN_WILLIAM,26
FRANKENSURFER,32
FRANKENSURFER_II,32
FRANKIE_THE_FISH,40
FRANKLIN_BENJAMIN,40
FRANKLIN_JEREMY,42
FRANKS_BARNEY,30
FRASER_DET_KATE,46
FRAULEIN_FATALE,54
FRAZIER_IKE,30
FRAZIER_MARLENE,36
FREAK_III,30
FREAK_IV,152
FREAK_QUINCY,10
FREAKMASTER,38
FREAKOUT,36
FREAKSHOW,116
FRED,32
FREDD,28
FREDERICKS_GENERAL,116
FREDERICKSON_KOLINA,30
FREDRICKSON_DET,36
FREE_SPIRIT,122
FREEDOM_RING,36
FREEMAN_DEREK,228
FREEMAN_DUANE_JEROME,388
FREEMAN_EMILEE,44
FREEMAN_SPIKE,140
FREEMONT_LANA,20
FREEZER_BURN,26
FREKI,142
FRENCHIE,596
FRENZ_RON,44
FRENZY,1026
FREUD_SIGMUND_ROBOT,26
FREWIN_RANDOLPH,32
FREY,158
FREY_JADA,56
FREY_JAMES,18
FREY_JAREL,56
FREYA,186
FRIA_QUEEN,16
FRICK_COL,20
FRICKETT_SADIE,116
FRIDAY,280
FRIDAY_II,74
FRIEDLANDER_SHARON,312
FRIEDRICH_GARY,56
FRIEDRICH_MIKE,68
FRIENDLESS,26
FRIGGA,598
FRISCO,14
FRITZ,68
FROBISHER_NIGEL,74
FROBRICH_MAJ,18
FROEBE_OTTO,24
FROG,80
FROG_II,26
FROG-MAN,98
FROG-MAN_II,322
FROG-MAN_II_IMPOSTER,180
FROG-MAN_III,122
FROH,20
FROHIKE_JANICE_O_REILLY,8
FRONT,54
FRONT-DE-BOEUF_REGINALD,22
FROST,34
FROST_ADAM,32
FROST_ADRIENNE,180
FROST_BYRON,62
FROST_CHRISTIAN,64
FROST_CORDELIA,130
FROST_DEACON,138
FROST_DEACON_DOPPELGANGER,20
FROST_EMMA_GRACE,3018
FROST_EMMA_GRACE_IMPOSTER,154
FROST_HAZEL,68
FROST_WINSTON,90
FROSTBITE,34
FROZEN_GHOST,14
FRUITBAGEL_MRS,56
FRYDERYK_THE_FIXER,10
MANCHU,206
FU_SE,60
FUANARO_RENEE,44
FUCHS_KLAUS,38
FUEGO,82
FUENTES_PVT_RON,34
FUGUE,28
FUGUE_II,14
FUJIKAWA_KENJIRO,18
FUJIKAWA_RUMIKO,220
FUKUDA_TAKEO,46
FULCRUM,50
FULLERTON_MARY_ELLEN,16
FULLERTON-SMITH_CASEY,10
FUMES,12
FUNARO_DONNA,112
FUNARO_MRS,30
FUNGI,22
FUNHOUSE,40
FUNTZEL,14
FURGAR,88
FURMAN_RICHARD,42
FURMINTZ_HARMON,150
FUROR,18
FURY,44
FURY_EARTH-238_DUPLICATE,56
FURY_EARTH-238_DUPLICATE_II,42
FURY_NICK,5286
FURY_DAWN,80
FURY_LT_JACK,6
FURY_MAX,40
FURY_MRS,22
FURY_NICK_L_M_D,74
FURY_NICK_L_M_D_II,54
FURY_NICK_L_M_D_III,74
FURY_NICK_L_M_D_IV,352
FURY_NICK_JR,58
FUSA,10
FUSION,104
FUSION_II,28
FUSSKEY_REGIS,26
FUTURE_MAN,18
FUTURIST,76
FYSKOV_ANATOLY,14
G_ANYM,68
G_MAL,50
G-FORCE,12
G-TYPE,66
GAARK,28
GABBO,10
GABRIEL,146
GABRIEL_II,6
GABRIEL_III,30
GABRIEL_GEN,36
GABRIEL_MR,30
GADFLY,96
GADGET,46
GADGET_II,22
GADRIEL,40
GAEA,754
GAFFER,346
GAFFER_LMD,72
GAFFNEY_SUZANNE,60
GAHCK,8
GAIA,120
GAIMAN_NEIL,6
GALACTA,24
GALACTIC_DEFENDER,22
GALACTIC_DESTROYER,24
GALACTUS,1564
GALADRIEL,36
GALANNAN_BILL,22
GALAXY_MASTER,36
GALE,34
GALE_SHERIFF,20
GALEN_KOR_ADM,142
GALFRAX,52
GALILEI_GALILEO,32
GALINN,18
GALLAGHER_BEN,50
GALLAGHER_BOB,34
GALLANT_HENRIQUE,30
GALLHAGER_CHRISTINE,4
GALP,28
GALTUS,12
GALVIN_TOMMY,14
GAMBIT,2718
GAMBIT_DOPPELGANGER,238
GAMBIT_DOPPELGANGER_II,4
GAMBIT_II,72
GAMBLE,14
GAMBLE_GRACIE,44
GAMBLE_PROF_JUSTIN_ALPHONSE,92
GAMBONNO_ERNESTO,544
GAMBONNO_LUIGI,476
GAMECOCK,150
GAMELIN_JOHN_T,112
GAMESMASTER,264
GAMIEL,12
GAMMA-BURN,12
GAMMADROID,88
GAMMENON,416
GAMORA_7528,1022
GAMORRA_BOBBY,64
GANCE_TABITHA,34
GANDHI_MAHATMA,18
GANGER_CARMEN,18
GANGER_DR_ALEXEI,56
GANNON_RICH,24
GANNON_SGT_FRANK,20
GANS_REGINA,24
GANTRY,42
GANYMEDE,148
GAPON_DZHOKHAR,42
GAR_EE,28
GAR-TOOM,50
GARA,12
GARABALDI,42
GARBAGE_MAN,36
GARCIA_MARY,20
GARCIA_NESTOR,8
GARCIA_REV,50
GARDENER,176
GARDENER_II,16
GARFIELD_MURRAY,38
GARGANTOS,12
GARGANTUA,122
GARGANTUA_DOPPELGANGER,38
GARGANTUA_DOPPELGANGER_II,38
GARGANTUA_II,68
GARGANTUS,32
GARGANTUS_II,4
GARGOUILLE,116
GARGOYLE,22
GARGOYLE_II,14
GARGOYLE_III,86
GARGOYLE_IV,1040
GARKO,10
GARLDOFF,34
GARM,312
GARNER_CLIFF,34
GARNER_MELITA,296
GARNOFF_FATHER_ALEXEI,122
GARNOK_REBBAHN,10
GAROKK,184
GAROTTE,24
GARRETT_DET_NEIL,76
GARRETT_JEFFREY,128
GARRETT_JOHN,220
GARRG,22
GARRISON_DR,26
GARRISON_DR_SEAN,196
GARSEN_GLORY,116
GARTH,30
GARTH_OF_MOURNHEIM,34
GARTH_DONNA,86
GARTHWAITE_ANN,82
GARTHWAITE_BURT,56
GARVEY,14
GARVEY_CHRISTINA,56
GARVIN_GEARS,124
GARVIN_MARY,16
GAS,22
GASTON_CHARLIE,34
GATEKEEPER,14
GATES_BILL,20
GATES_GUNNER,16
GATES,38
GATEWAY,772
GATOR_LORD,214
GATTLING,22
GATZ_WILLIAM,18
GAULTHING_ANDERSON,38
GAUNT,198
GAUNT_KIM,40
GAUNTLET,202
GAUNTLET2,182
GAUNTLET_III,730
GAVASCAR_BHAKTI,40
GAVASCAR_RAV,40
GAVASCAR_TEJPAL,26
GAVEL,34
GAVEN_FATHER,24
GAVEN_PHILIP,54
GAVIN,8
GAWAIN,126
GAWAIN_SIR,44
GAXTON_BLACKIE,26
GAZA,326
GAZAN,12
GAZELLE,148
GEARLOOSE,28
GEATAR,212
GEB,106
GEDDINGS_JUDITH,10
GEE,242
GEECH,20
GEELS_MINNIE,40
GEIGER,338
GEIGERICH_PVT_RICH,28
GEIK,54
GEINSTACH_KURT,20
GEIRRODUR,354
GEIST_NIKOLAUS,134
GELLER_IVY,32
GELLER_URI,10
GELT,48
GEMINI,188
GEMINI_LMD,146
GEMINI_III,60
GEMMELL_SAMUEL,20
GENECIDE,82
GENEGINEER,124
GENERAL,24
GENERAL_II,8
GENERAL_III,54
GENERAL_IV,74
GENERAL_ADMISSION,66
GENERAL_OBSIDIAN,106
GENERAL_TEN_PER_CENT,14
GENERAL_WOLFRAM,34
GENII,286
GENESIS,16
GENKOTSU,68
GENTLE,556
GENTLE_SAM,58
GENTRY,80
GENUARDI_MR,30
GEO,14
GEOFFREY_II,18
GEOMETER,18
GEORGE,32
GEORGE_DAVID_LLOYD,20
GEORGI,50
GERARD_STEPHANIE,24
GERARD_TERENCE,34
GERASI_FATHER_DOMINIC,30
GERASI_JOEY,64
GERASI_LESLIE,62
GERASI_MARIO,68
GERASI_MARY_ROSE,44
GERBER_STEVE,40
GERBIL,18
GERHARDT_JOSEPH_HEINRICH,24
GERI,166
GERMAINE,28
GERONIMO,44
GERVASE_LADY_ALYSSA,42
GESNERIA_LESLIE,38
GESTALT,8
GEZA,6
GGORGSTOG,46
GHAN,14
GHARSKYGT,38
GHASTA,16
GHAUR,556
GHAZIKHANIAN_ANNIE,212
GHAZIKHANIAN_CARTER,148
GHILARON,24
GHOMLI,20
GHOST,6
GHOST_II,466
GHOST_BLADE,52
GHOST_DANCER,38
GHOST_DANCER_II,10
GHOST_GIRL,30
GHOST_GIRL_II,112
GHOST_RIDER,128
GHOST_RIDER_II,134
GHOST_RIDER_III,146
GHOST_RIDER_IV,146
GHOST_RIDER_V,146
GHOST_RIDER_VI,146
GHOST_RIDER_VII,130
GHOST_RIDER_VIII,134
GHOST_RIDER_IX,130
GHOST_RIDER_X,136
GHOST_RIDER_XI,136
GHOST_RIDER_XII,136
GHOST_RIDER_XIII,134
GHOST_RIDER_XIV,130
GHOST_RIDER_XV,130
GHOST_RIDER_XVI,130
GHOST_RIDER_XVII,100
GHOST_RIDER_XVIII,136
GHOST_RIDER_XX,136
GHOST_RIDER_XXI,22
GHOST_RIDER_XXII,134
GHOST_RIDER_XXIII,122
GHOST_RIDER_XXV,134
GHOST_RIDER_XXVI,134
GHOST_RIDER_XXVII,134
GHOST_RIDER_XXVIII,134
GHOST_RIDER_XXIX,134
GHOST_RIDER_XXX,134
GHOST_RIDER_XXXI,134
GHOST_RIDER_XXXII,134
GHOST_RIDER_XXXIII,102
GHOST_RIDER_XXXIV,1224
RIDER,1816
GHOST_RIDER_XXXVI,46
GHOST_RIDER_XXXVII,130
GHOST_RIDER_XXXVIII,130
GHOST_RIDER_XXXIX,130
GHOST_RIDER_XL,130
GHOST_RIDER_XLI,130
GHOST_RIDER_XLII,122
GHOST_RIDER_XLIII,140
GHOST_RIDER_XLIV,140
GHOST_RIDER_XLV,124
GHOST_RIDER_XLVI,134
GHOST_RIDER_XLVII,134
GHOST_RIDER_XLVIII,122
GHOST_RIDER_IL,122
GHOST_RIDER_L,122
GHOST_RIDER_LI,46
GHOST_WIND_RIDER,26
GHOSTMAKER,74
GHOSTMARE,34
GHOUL,48
GIANELLI_FRANK,64
GIANT,1756
GIANT-MAN_II,470
GIANUS_CONTE_ALVISE,10
GIBBON,302
GIBBORIM,86
GIDEON,358
GIDEON_AMANDA,12
GIDEON_CLAIRE,28
GIDEON_GREGORY_HUNGERFORD,42
GIEE,90
GIGANTAURON,30
GIGANTO,270
GIGANTUS,78
GIGGLES,142
GIGO,14
GIL,34
GILA,46
GILBERT_PROFESSOR_GREGSON,86
GILBERT_ROXANNE,150
GILBERT_SIMON,70
GILBERTI_ROSE,40
GILDED_LILY,18
GILGAMESH_II,12
GILLESPIE_ROBIN,28
GILLIS_HOLLY,44
GILLISPIE_ANDREW,80
GILMORE_BERT,14
GIN_GENIE,28
GINGERBREAD_MAN,8
GINNIYEH,60
GINSBERG_SHARON,52
GIOUGH,26
GIRABOOR,26
GIRARD_JACQUES,76
GISCARD_RENE,24
GIULIANI_RUDOLPH,156
GIURESCU_RADU,20
GIVENS_HARRY,120
GLABOO,106
GLADIATOR,994
GLADIATOR_II,258
GLADIATOR_III,46
GLADIATRIX,500
GLADWELL_GEN_BART,12
GLAMOR,44
GLAMOR_GAIL,32
GLAMOUR_GIRL,104
GLASS_EYE,42
GLAZE,40
